 #faults          #DT(#DS/#DI)          #PT(#AP/#NP)  #UD(#UU/#UO/#UT/#UB/#UR)     #AU          #ND(#NC/#NO)  testcov  instance name (type)
 ------- --------------------- --------------------- ------------------------- ------- ---------------------  -------  -----------------------
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_ad_reg_6_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_ad_reg_4_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_bw_reg  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_mov_reg  (HS65_GS_DFPRQX4)
       8                7(7/0)                1(0/1)             0(0/0/0/0/0)       0                0(0/0)   87.50%        /frontend_0/inst_alu_reg_5_  (HS65_GS_DFPRQX4)
       8                7(7/0)                1(0/1)             0(0/0/0/0/0)       0                0(0/0)   87.50%        /frontend_0/inst_alu_reg_6_  (HS65_GS_DFPRQX4)
       8                7(7/0)                1(0/1)             0(0/0/0/0/0)       0                0(0/0)   87.50%        /frontend_0/inst_so_reg_5_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_so_reg_4_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_so_reg_1_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_so_reg_0_  (HS65_GS_DFPRQX4)
       8                7(7/0)                1(0/1)             0(0/0/0/0/0)       0                0(0/0)   87.50%        /frontend_0/inst_type_reg_1_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_alu_reg_8_  (HS65_GS_DFPRQX4)
       8                7(7/0)                1(0/1)             0(0/0/0/0/0)       0                0(0/0)   87.50%        /frontend_0/inst_alu_reg_7_  (HS65_GS_DFPRQX4)
       8                7(7/0)                1(0/1)             0(0/0/0/0/0)       0                0(0/0)   87.50%        /frontend_0/inst_as_reg_6_  (HS65_GS_DFPRQX4)
